Logistic_Probabilities,RF_Probabilities
"[1.19157484e-04 1.04538580e-04 1.06781922e-04 9.97939221e-01
 5.50897017e-05 1.19119444e-04 1.17424502e-04 6.70723333e-05
 4.90325710e-05 1.10071800e-04 4.22600125e-04 1.31488903e-04
 1.16947461e-04 8.45774318e-05 1.30734188e-04 1.32460617e-04
 7.30470224e-05 1.20634465e-04]","[0.02 0.02 0.01 0.87 0.   0.   0.   0.   0.   0.   0.01 0.02 0.02 0.
 0.   0.03 0.   0.  ]"
"[9.17256126e-05 8.33322430e-05 1.04467895e-04 1.17115374e-04
 1.12992260e-04 7.84564712e-05 8.82042052e-05 1.40097753e-04
 4.05889858e-05 8.76129603e-05 4.67657854e-04 4.11784792e-05
 1.06075130e-04 9.98151743e-01 7.36988891e-05 9.63887464e-05
 6.19039628e-05 5.67599188e-05]","[0.01 0.   0.02 0.   0.   0.   0.   0.01 0.01 0.   0.   0.   0.   0.95
 0.   0.   0.   0.  ]"
"[4.20950892e-05 4.63734797e-05 5.17143425e-05 6.33192299e-05
 9.97763104e-01 3.20863484e-05 5.13285780e-05 8.41742686e-05
 1.33899449e-04 2.43383029e-05 1.33856091e-03 2.68861782e-05
 4.30623779e-05 7.91674582e-05 3.54584990e-05 4.75493982e-05
 1.07135484e-04 2.97466156e-05]","[0.   0.   0.   0.   0.81 0.   0.   0.   0.02 0.   0.17 0.   0.   0.
 0.   0.   0.   0.  ]"
"[2.80853307e-04 3.74423324e-05 3.96969713e-05 3.85051858e-05
 7.68861686e-05 4.26790419e-05 4.12680969e-05 4.61744465e-05
 9.98924543e-01 3.07019895e-05 4.15436930e-05 6.65866865e-05
 3.90055208e-05 4.13060458e-05 6.48858548e-05 4.01693451e-05
 8.13894279e-05 6.63628708e-05]","[0.   0.   0.   0.   0.   0.   0.01 0.   0.96 0.   0.02 0.01 0.   0.
 0.   0.   0.   0.  ]"
"[7.58416061e-05 7.44955761e-05 3.71048745e-05 6.81924574e-05
 3.36916367e-05 1.78993800e-04 9.17612131e-05 5.53016356e-05
 1.56092012e-05 1.32368770e-04 1.04141690e-05 9.98688856e-01
 7.36013713e-05 4.78384800e-05 7.88183364e-05 4.78677787e-05
 3.25401632e-05 2.56703134e-04]","[0.   0.   0.   0.01 0.   0.04 0.01 0.   0.   0.01 0.   0.91 0.01 0.
 0.   0.01 0.   0.  ]"
"[1.92880708e-05 2.04592309e-05 1.90352178e-05 2.48539254e-05
 4.94817316e-05 1.28042813e-05 1.98467720e-05 2.65924718e-05
 9.99409353e-01 1.05250124e-05 2.20373745e-04 1.33243713e-05
 1.58547433e-05 3.12791987e-05 4.10932395e-05 1.86040512e-05
 3.79967728e-05 9.23371036e-06]","[0.   0.   0.   0.   0.01 0.   0.   0.   0.95 0.   0.03 0.   0.   0.
 0.01 0.   0.   0.  ]"
"[6.16892960e-05 1.16398048e-04 3.04909546e-05 5.45296419e-05
 2.73968909e-05 1.19183795e-04 8.56133568e-05 3.01105006e-05
 2.09957651e-05 9.52079994e-05 1.59748744e-05 9.98817136e-01
 6.65825656e-05 3.81415341e-05 1.25851030e-04 5.34960481e-05
 3.50232317e-05 2.06178640e-04]","[0.01 0.01 0.   0.   0.   0.   0.   0.02 0.   0.   0.   0.89 0.01 0.
 0.01 0.   0.   0.05]"
"[1.06287187e-04 1.20817783e-04 1.73531528e-04 8.24295022e-05
 7.31573208e-05 1.46145574e-04 1.15089212e-04 8.06094571e-05
 6.65653929e-05 1.15974149e-04 3.32303588e-04 1.25521641e-04
 9.97905823e-01 1.17167592e-04 7.69975672e-05 1.27106282e-04
 1.07598222e-04 1.26874584e-04]","[0.02 0.01 0.   0.02 0.   0.02 0.03 0.02 0.   0.03 0.   0.02 0.76 0.01
 0.   0.04 0.01 0.01]"
"[1.16226906e-04 1.51642395e-04 8.40539232e-05 8.19167458e-05
 6.50324755e-05 1.23691946e-04 1.01759536e-04 2.48519401e-04
 3.28843751e-05 9.97633690e-01 9.46089539e-05 1.86006020e-04
 1.19443352e-04 7.54674365e-05 1.46674618e-04 5.10188222e-04
 7.96396761e-05 1.48553972e-04]","[0.   0.03 0.   0.01 0.   0.   0.04 0.   0.   0.83 0.   0.   0.02 0.
 0.02 0.05 0.   0.  ]"
"[9.75186617e-05 7.90088878e-05 1.08100808e-04 1.55793504e-04
 6.53955922e-05 8.66573643e-05 8.59149682e-05 1.02464148e-04
 5.20489434e-05 6.46144514e-05 2.37250939e-04 8.99114604e-05
 9.33708090e-05 9.98333918e-01 9.20973825e-05 1.11419942e-04
 7.44110986e-05 7.01033511e-05]","[0.   0.01 0.   0.02 0.   0.   0.   0.02 0.   0.01 0.01 0.   0.01 0.88
 0.01 0.03 0.   0.  ]"
"[1.12822162e-04 4.04977785e-04 1.49444286e-04 1.03148886e-04
 8.88298701e-05 8.37206564e-05 1.18380485e-04 9.97886250e-01
 4.28590787e-05 8.94678645e-05 3.39739920e-04 7.13100648e-05
 8.39578047e-05 7.60612401e-05 8.58586534e-05 1.09598017e-04
 9.59171838e-05 5.76556448e-05]","[0.02 0.02 0.07 0.01 0.   0.01 0.   0.79 0.   0.01 0.02 0.   0.   0.01
 0.03 0.01 0.   0.  ]"
"[5.45574873e-05 3.57511159e-05 8.64513719e-05 6.66865755e-05
 1.21915246e-04 2.95136185e-05 6.91029477e-05 6.78211204e-05
 9.98693589e-01 5.43451428e-05 3.09397349e-04 3.06216501e-05
 4.99064100e-05 4.77370500e-05 5.50576093e-05 8.14166367e-05
 1.17422133e-04 2.87078782e-05]","[0.   0.   0.01 0.   0.02 0.   0.   0.   0.88 0.   0.01 0.   0.   0.
 0.   0.   0.08 0.  ]"
"[1.16050190e-04 7.55061491e-05 1.56180309e-04 1.33067972e-04
 8.10374509e-05 3.26201519e-04 9.82509254e-05 7.82102648e-05
 4.48482595e-05 8.07412795e-05 5.30017197e-04 7.53181918e-05
 1.20500813e-04 9.97714119e-01 8.71357028e-05 1.34760383e-04
 9.44178817e-05 5.36364700e-05]","[0.01 0.02 0.02 0.01 0.   0.01 0.02 0.01 0.01 0.02 0.02 0.   0.01 0.79
 0.01 0.   0.04 0.  ]"
"[4.65808460e-05 9.27164416e-05 1.31265289e-05 2.04346459e-05
 1.00410587e-05 1.33568732e-04 5.11009748e-05 1.62604329e-05
 7.60565321e-06 6.77389298e-05 4.81275966e-07 1.34186401e-04
 3.09433433e-05 1.23213056e-05 1.09000497e-04 3.64848995e-05
 1.19647251e-05 9.99205443e-01]","[0.01 0.01 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.01 0.   0.
 0.03 0.   0.   0.94]"
"[4.05584781e-05 2.99810858e-05 5.50949589e-05 5.45288036e-05
 8.18643502e-05 3.02947622e-05 3.00389596e-05 4.19607986e-05
 9.97974547e-01 4.77643533e-05 1.31800401e-03 2.61058463e-05
 3.64004569e-05 4.88532494e-05 3.62224133e-05 4.74714158e-05
 7.67836063e-05 2.35251296e-05]","[0.   0.   0.   0.01 0.03 0.   0.   0.   0.89 0.   0.07 0.   0.   0.
 0.   0.   0.   0.  ]"
"[2.18272602e-04 1.20385790e-04 2.46199550e-04 1.00287324e-04
 2.52726426e-04 6.73316919e-05 1.20273889e-04 1.99103585e-04
 1.83885835e-03 1.30648091e-04 9.95333407e-01 7.61465564e-05
 1.93831041e-04 2.72653092e-04 1.40773424e-04 1.32660940e-04
 4.88481997e-04 6.79585655e-05]","[0.01 0.   0.   0.   0.12 0.   0.   0.   0.15 0.   0.7  0.   0.   0.
 0.   0.   0.02 0.  ]"
"[7.54915905e-05 9.98443110e-01 7.13913898e-05 8.92172415e-05
 5.96445992e-05 1.12702794e-04 8.10782921e-05 1.14447390e-04
 2.32004678e-05 1.41482758e-04 9.57130800e-05 1.39479270e-04
 8.39762074e-05 8.22939705e-05 1.09799294e-04 9.06938216e-05
 6.01012649e-05 1.26176074e-04]","[0.   0.94 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.01 0.01 0.
 0.03 0.   0.   0.01]"
"[4.40704440e-05 2.92480133e-05 2.46354667e-05 3.41429702e-05
 6.80878122e-05 2.78591141e-05 3.12864665e-05 4.07643752e-05
 9.98946882e-01 3.59766555e-05 4.40538641e-04 3.02728942e-05
 3.26040710e-05 2.44069634e-05 4.11662948e-05 2.89322805e-05
 9.82164338e-05 2.09089213e-05]","[0.   0.   0.   0.   0.   0.   0.   0.   0.97 0.   0.02 0.   0.01 0.
 0.   0.   0.   0.  ]"
"[1.41131815e-04 9.97950372e-01 7.24015128e-05 9.39325282e-05
 5.98295446e-05 1.66388299e-04 1.13601040e-04 9.39610874e-05
 4.73293627e-05 1.01703871e-04 1.71919514e-05 2.59714159e-04
 9.61587979e-05 7.94753903e-05 2.24952850e-04 1.19280382e-04
 6.55044807e-05 2.97070807e-04]","[0.01 0.85 0.   0.01 0.   0.03 0.01 0.   0.   0.01 0.   0.03 0.   0.
 0.04 0.   0.   0.01]"
"[1.18722146e-04 9.82357125e-05 1.48767980e-04 1.52463777e-04
 7.53122731e-05 6.51368597e-05 1.25957370e-04 9.97928264e-01
 6.45536114e-05 5.96653346e-05 5.32009388e-04 6.18443283e-05
 1.07531878e-04 1.04869532e-04 8.57864005e-05 1.19210767e-04
 8.21922147e-05 6.94764166e-05]","[0.   0.   0.01 0.02 0.   0.   0.01 0.93 0.   0.   0.   0.   0.   0.
 0.02 0.01 0.   0.  ]"
"[3.94712940e-05 5.19472940e-05 7.48324762e-05 6.45157356e-05
 1.32732612e-04 3.64879710e-05 3.94786036e-05 6.30473509e-05
 9.98412898e-01 5.98816634e-05 6.48949910e-04 3.79406876e-05
 6.37673721e-05 6.95769726e-05 3.45570640e-05 5.29583131e-05
 7.40045989e-05 4.29519817e-05]","[0.   0.   0.   0.   0.   0.   0.   0.   0.95 0.   0.05 0.   0.   0.
 0.   0.   0.   0.  ]"
"[1.87655601e-04 1.53283949e-04 1.60894958e-04 2.00657402e-04
 9.51524116e-05 1.93771680e-04 1.70378688e-04 1.91405642e-04
 3.89217946e-05 1.49862604e-04 2.73317546e-04 9.97316733e-01
 1.42701655e-04 1.66420365e-04 1.71348841e-04 1.49309596e-04
 7.34055107e-05 1.64778526e-04]","[0.03 0.   0.   0.02 0.   0.05 0.01 0.01 0.   0.01 0.01 0.78 0.02 0.01
 0.01 0.02 0.   0.02]"
"[1.08601953e-04 9.68586205e-05 9.97475451e-01 9.99530000e-05
 1.07572509e-04 8.03844573e-05 1.26065684e-04 2.35328712e-04
 4.57374595e-05 8.67294468e-05 7.96825300e-04 8.69215555e-05
 1.25336788e-04 1.51936507e-04 1.04440300e-04 1.03786445e-04
 9.81958441e-05 6.98741518e-05]","[0.   0.03 0.79 0.   0.   0.   0.02 0.04 0.   0.   0.02 0.01 0.01 0.03
 0.01 0.   0.03 0.01]"
"[2.01681968e-04 1.91321207e-04 1.65713801e-04 1.48447025e-04
 9.61473525e-05 2.95758292e-04 1.97592432e-04 1.56711410e-04
 7.03471606e-05 9.97063079e-01 4.92590545e-05 2.37322636e-04
 1.76535770e-04 1.35486072e-04 2.50714870e-04 2.15464773e-04
 1.06645718e-04 2.41771501e-04]","[0.03 0.03 0.   0.01 0.01 0.03 0.01 0.01 0.   0.7  0.   0.02 0.05 0.01
 0.01 0.08 0.   0.  ]"
"[3.64098551e-05 3.08563001e-05 4.40336632e-05 4.88453613e-05
 5.50396264e-05 1.96009013e-05 4.06445882e-05 3.73493598e-05
 9.98654445e-01 1.92369056e-05 7.74370154e-04 2.04491540e-05
 3.42717838e-05 3.12746809e-05 2.76837286e-05 3.86082081e-05
 6.39847204e-05 2.28963128e-05]","[0.   0.   0.   0.01 0.   0.   0.   0.   0.96 0.   0.03 0.   0.   0.
 0.   0.   0.   0.  ]"
"[9.97932536e-01 1.23472095e-04 1.04101425e-04 9.80115806e-05
 6.02666675e-05 1.49163786e-04 9.96845279e-05 1.60359581e-04
 4.76812567e-05 1.06919577e-04 1.18326305e-04 1.78829234e-04
 1.67029275e-04 1.18197521e-04 1.40227279e-04 1.55673525e-04
 8.69023998e-05 1.52617908e-04]","[0.72 0.03 0.02 0.01 0.   0.   0.05 0.01 0.   0.02 0.   0.02 0.   0.02
 0.03 0.06 0.01 0.  ]"
"[3.19527460e-05 3.45947714e-05 7.42058860e-05 4.37933536e-05
 8.93334916e-05 3.79414731e-05 3.15876727e-05 5.01919872e-05
 6.17105281e-05 1.96577157e-05 9.42075939e-04 3.30654769e-05
 3.58897267e-05 4.04385937e-05 3.66788463e-05 3.64792421e-05
 9.98384474e-01 1.59282630e-05]","[0.   0.   0.03 0.   0.01 0.   0.   0.   0.03 0.   0.03 0.02 0.   0.
 0.01 0.   0.87 0.  ]"
"[2.85674942e-04 2.26222157e-04 5.79406413e-04 4.21921039e-04
 9.67579173e-04 1.92372619e-04 3.23165490e-04 3.91621184e-04
 2.48494799e-03 2.62602722e-04 9.91379342e-01 1.59631832e-04
 3.18551588e-04 5.40574484e-04 2.34136277e-04 2.71635299e-04
 8.61667226e-04 9.89478386e-05]","[0.   0.01 0.   0.   0.25 0.   0.   0.   0.11 0.   0.52 0.   0.   0.
 0.01 0.   0.1  0.  ]"
"[4.25983866e-05 3.63080387e-05 5.72471858e-05 5.54571897e-05
 9.99101481e-01 5.97708701e-05 3.57841867e-05 6.49085538e-05
 5.34954971e-05 3.26848151e-05 1.64325081e-04 2.72156541e-05
 3.99438832e-05 6.49940204e-05 3.12102086e-05 4.44227747e-05
 7.85210202e-05 9.63163019e-06]","[0.   0.01 0.01 0.   0.83 0.01 0.   0.01 0.03 0.   0.09 0.   0.   0.01
 0.   0.   0.   0.  ]"
"[1.20035351e-04 1.10049054e-04 1.23275069e-04 1.40109904e-04
 6.80176906e-05 8.17269853e-05 1.40441686e-04 1.10830270e-04
 5.72753063e-05 7.03966629e-05 4.13236730e-04 7.84319575e-05
 9.98007401e-01 8.80876569e-05 1.01369614e-04 1.11522816e-04
 7.84238376e-05 9.93684544e-05]","[0.04 0.   0.   0.02 0.   0.   0.02 0.01 0.01 0.   0.01 0.   0.86 0.
 0.   0.01 0.01 0.01]"
"[1.16513776e-04 9.71529023e-05 1.02184048e-04 9.04400918e-05
 6.55904833e-05 7.74805181e-05 8.27278019e-05 1.09524760e-04
 3.50177340e-05 1.00255708e-04 2.78619959e-04 1.06801236e-04
 9.98184548e-01 1.02383519e-04 1.15660716e-04 1.15298849e-04
 8.57894707e-05 1.34010490e-04]","[0.01 0.   0.   0.   0.   0.01 0.   0.   0.   0.01 0.   0.01 0.91 0.01
 0.   0.02 0.02 0.  ]"
