Product_ID,Product_Name,Product_Price,Price_Range
1.0,FinPredictor Suite,140000,High
2.0,MarketMinder Analytics,168000,High
3.0,TrendWise Forecaster,100800,High
4.0,CustomerScope Insights,123200,High
5.0,SalesSync Optimizer,84000,Medium
6.0,RevenueVue Dashboard,179200,High
7.0,DataBridge Integration Tool,151200,High
Unknown,RiskRadar Monitor,151200,High
9.0,Product 9,112000,High
10.0,SegmentX Targeting,89600,Medium
11.0,OptiFlow Automation,156800,High
12.0,BudgetMaster Pro,84000,Medium
13.0,ForecastXcelerator ,196000,High
14.0,InsightMax Insights Platform,128800,High
15.0,NexGen Segmentator,100800,High
Unknown,SpendTrack Plus,106400,High
17.0,RealTime Revenue,168000,High
18.0,DashSync Analytics Hub,134400,High
19.0,EcoNomix Modeler,95200,Medium
20.0,FinSphere Intelligence Suite,224000,High
